,temperature
2019-02-23 20:00:00,52.84
2019-02-23 21:00:00,54.52
2019-02-23 22:00:00,55.27
2019-02-23 23:00:00,56.14
2019-02-24 00:00:00,57.02
2019-02-24 01:00:00,57.41
2019-02-24 02:00:00,56.78
2019-02-24 03:00:00,54.47
2019-02-24 04:00:00,50.54
2019-02-24 05:00:00,49.44
2019-02-24 06:00:00,49.28
2019-02-24 07:00:00,48.41
2019-02-24 08:00:00,47.49
2019-02-24 09:00:00,45.3
2019-02-24 10:00:00,44.33
2019-02-24 11:00:00,42.85
2019-02-24 12:00:00,42.84
2019-02-24 13:00:00,41.94
2019-02-24 14:00:00,41.49
2019-02-24 15:00:00,41.37
2019-02-24 16:00:00,42.64
2019-02-24 17:00:00,46.05
2019-02-24 18:00:00,48.23
2019-02-24 19:00:00,52.04
2019-02-24 20:00:00,55.65
2019-02-24 21:00:00,56.84
2019-02-24 22:00:00,59.12
2019-02-24 23:00:00,59.96
2019-02-25 00:00:00,61.32
2019-02-25 01:00:00,61.53
2019-02-25 02:00:00,59.51
2019-02-25 03:00:00,57.51
2019-02-25 04:00:00,55.71
2019-02-25 05:00:00,53.89
2019-02-25 06:00:00,52.86
2019-02-25 07:00:00,51.9
2019-02-25 08:00:00,51.0
2019-02-25 09:00:00,50.54
2019-02-25 10:00:00,50.47
2019-02-25 11:00:00,49.48
2019-02-25 12:00:00,49.13
2019-02-25 13:00:00,49.23
2019-02-25 14:00:00,48.87
2019-02-25 15:00:00,48.4
2019-02-25 16:00:00,48.03
2019-02-25 17:00:00,52.71
2019-02-25 18:00:00,55.83
2019-02-25 19:00:00,59.05
2019-02-25 20:00:00,60.5
2019-02-25 21:00:00,62.04
2019-02-25 22:00:00,61.75
2019-02-25 23:00:00,61.71
2019-02-26 00:00:00,59.97
2019-02-26 01:00:00,60.31
2019-02-26 02:00:00,59.76
2019-02-26 03:00:00,58.98
2019-02-26 04:00:00,58.28
2019-02-26 05:00:00,57.93
2019-02-26 06:00:00,56.55
2019-02-26 07:00:00,55.35
2019-02-26 08:00:00,54.99
2019-02-26 09:00:00,54.24
2019-02-26 10:00:00,53.93
2019-02-26 11:00:00,52.33
2019-02-26 12:00:00,54.0
2019-02-26 13:00:00,53.87
2019-02-26 14:00:00,53.4
2019-02-26 15:00:00,52.47
2019-02-26 16:00:00,52.47
2019-02-26 17:00:00,52.72
2019-02-26 18:00:00,55.73
2019-02-26 19:00:00,59.24
2019-02-26 20:00:00,60.8
2019-02-26 21:00:00,60.41
2019-02-26 22:00:00,61.51
2019-02-26 23:00:00,61.95
2019-02-27 00:00:00,61.48
2019-02-27 01:00:00,61.86
2019-02-27 02:00:00,60.73
2019-02-27 03:00:00,60.68
2019-02-27 04:00:00,59.78
2019-02-27 05:00:00,59.54
2019-02-27 06:00:00,58.66
2019-02-27 07:00:00,57.75
2019-02-27 08:00:00,56.76
2019-02-27 09:00:00,56.53
2019-02-27 10:00:00,54.94
2019-02-27 11:00:00,54.62
2019-02-27 12:00:00,55.08
2019-02-27 13:00:00,54.62
2019-02-27 14:00:00,53.51
2019-02-27 15:00:00,52.89
2019-02-27 16:00:00,52.49
2019-02-27 17:00:00,53.82
2019-02-27 18:00:00,55.13
2019-02-27 19:00:00,59.45
2019-02-27 20:00:00,60.97
2019-02-27 21:00:00,62.97
2019-02-27 22:00:00,64.21
2019-02-27 23:00:00,64.55
2019-02-28 00:00:00,65.28
2019-02-28 01:00:00,64.98
2019-02-28 02:00:00,64.43
2019-02-28 03:00:00,62.39
2019-02-28 04:00:00,61.07
2019-02-28 05:00:00,59.82
2019-02-28 06:00:00,58.62
2019-02-28 07:00:00,57.4
2019-02-28 08:00:00,56.13
2019-02-28 09:00:00,55.42
2019-02-28 10:00:00,54.1
2019-02-28 11:00:00,52.88
2019-02-28 12:00:00,52.59
2019-02-28 13:00:00,51.53
2019-02-28 14:00:00,51.37
2019-02-28 15:00:00,50.33
2019-02-28 16:00:00,50.52
2019-02-28 17:00:00,50.97
2019-02-28 18:00:00,53.02
2019-02-28 19:00:00,53.91
2019-02-28 20:00:00,55.16
2019-02-28 21:00:00,56.47
2019-02-28 22:00:00,57.25
2019-02-28 23:00:00,58.68
2019-03-01 00:00:00,59.61
2019-03-01 01:00:00,60.0
2019-03-01 02:00:00,59.06
2019-03-01 03:00:00,57.02
2019-03-01 04:00:00,55.31
2019-03-01 05:00:00,54.56
2019-03-01 06:00:00,53.95
2019-03-01 07:00:00,52.66
2019-03-01 08:00:00,51.36
2019-03-01 09:00:00,50.21
2019-03-01 10:00:00,49.24
2019-03-01 11:00:00,49.11
2019-03-01 12:00:00,48.97
2019-03-01 13:00:00,48.52
2019-03-01 14:00:00,47.21
2019-03-01 15:00:00,46.55
2019-03-01 16:00:00,48.14
2019-03-01 17:00:00,52.34
2019-03-01 18:00:00,55.74
2019-03-01 19:00:00,56.83
2019-03-01 20:00:00,58.08
2019-03-01 21:00:00,57.26
2019-03-01 22:00:00,57.27
2019-03-01 23:00:00,57.93
2019-03-02 00:00:00,59.85
2019-03-02 01:00:00,60.55
2019-03-02 02:00:00,60.32
2019-03-02 03:00:00,58.58
2019-03-02 04:00:00,57.13
2019-03-02 05:00:00,56.58
2019-03-02 06:00:00,55.13
2019-03-02 07:00:00,55.6
2019-03-02 08:00:00,55.43
2019-03-02 09:00:00,55.57
2019-03-02 10:00:00,55.36
2019-03-02 11:00:00,54.63
2019-03-02 12:00:00,54.78
2019-03-02 13:00:00,54.36
2019-03-02 14:00:00,54.21
2019-03-02 15:00:00,53.63
2019-03-02 16:00:00,53.66
2019-03-02 17:00:00,55.54
2019-03-02 18:00:00,57.57
2019-03-02 19:00:00,60.29
2019-03-02 20:00:00,61.52
2019-03-02 21:00:00,62.42
2019-03-02 22:00:00,63.19
2019-03-02 23:00:00,64.76
2019-03-03 00:00:00,65.53
2019-03-03 01:00:00,65.2
2019-03-03 02:00:00,64.09
2019-03-03 03:00:00,61.61
2019-03-03 04:00:00,60.02
2019-03-03 05:00:00,58.19
2019-03-03 06:00:00,57.7
2019-03-03 07:00:00,57.15
